id,text,label
1,"Stop using that background music, it is distracting.",6
2,This is the most confusing explanation I have ever seen.,1
3,Is this suitable! for complete beginners?,4
4,"This made my day,! so inspiring and motivating.",0
5,The video covers the basics.!,2
6,You made a mistake at! around the three minute mark.,5
7,Promo code SPAM50 for discount on my useless product!,3
8,Share this video with everyone you know.,6
9,I think you got the steps in the wrong order! here.,5
10,Subscribe to my channel for free money giveaway!,3
11,"Really boring and poorly made, thumbs! down.",1
12,"This is absolutely amazing, loved every second of! it!",0
13,Promo code SPAM50 for discount on my! useless product!,3
14,"Buy cheap! views and subscribers now, DM me!",3
15,Is this suitable for complete beginners?,4
16,The presenter talks about several points.,2
17,I came across this while! browsing.,2
18,The video has a few chapters.,2
19,Make a part two of! this video immediately!,6
20,"Worst video I have seen, very disappointing.",1
21,"That is a common misconception, the! real answer is different.",5
22,This is the most confusing explanation I have ever seen.,1
23,This is the most confusing explanation I have ever seen.,1
24,This channel deserves! way more subscribers.,0
25,"Free crypto! airdrop, send me your wallet address!",3
26,"Thank you so much for sharing this, really! helpful!",0
27,"Stop using that background music, it is distracting.",6
28,Do you have a written version of this tutorial?,4
29,Is this suitable for complete beginners?,4
30,Fix the audio levels in your next upload.,6
31,The editing is horrible and the pacing is off.,1
32,This video! is about twelve minutes long.,2
33,The video! covers the basics.,2
34,"Visit my website for amazing deals, link in bio!",3
35,I believe you meant to say the opposite of what you said.,5
36,I watched this video.,2
37,This video is about twelve minutes long.,2
38,The date you mentioned is actually off! by one year.,5
39,Subscribe to my! channel for free money giveaway!,3
40,Really appreciate the effort you put into this.,0
41,Do not forget to add subtitles next time.,6
42,You switched the! x and y axes in that chart.,5
43,Why does! this happen the way it does?,4
44,You made a mistake at around the three minute mark.,5
45,Unsubscribed after watching this disaster.,1
46,This is the most confusing explanation I have ever seen.,1
47,"So well done, I watched it three times! already.",0
48,Share this video with everyone you know.!,6
49,Add! timestamps to your videos please.,6
50,The date you mentioned is actually! off by one year.,5
51,The! editing is horrible and the pacing is off.,1
52,You confused two different concepts in this part.,5
53,The link you shared in the description is broken.!,5
54,"I got 10000 subscribers in one day, here is how!",3
55,"This made my day, so! inspiring and motivating.",0
56,Do! you have a written version of this tutorial?,4
57,This is the most confusing explanation I have ever seen.,1
58,Do not cut the video so abruptly at the end.,6
59,This video is about twelve minutes long.,2
60,"I make 500 dollars a day from home, ask! me how!",3
61,This is completely wrong! and misleading information.,1
62,"That definition is not quite accurate,! please check again.",5
63,The thumbnail caught my attention.,2
64,"The audio! quality is awful, could not understand anything.",1
65,The date you mentioned is actually off by one year.,5
66,"I regret! watching this, total garbage.",1
67,"Perfect! video, exactly what I was looking for.",0
68,"I make 500 dollars a day from! home, ask me how!",3
69,"So many errors in this video, very unprofessional.",1
70,This channel is going! downhill fast.,1
71,Has anyone tried this on a Mac instead of Windows?,4
72,I think you got the steps in the wrong order here.!,5
73,This is the most confusing explanation I have ever seen.,1
74,"Actually that is not correct, the answer is different.",5
75,"I make 500 dollars a day from home, ask me how!",3
76,The video has a few chapters.,2
77,"I learned so much from this, thank you!",0
78,"This is absolutely amazing, loved every second of it!",0
79,Unsubscribed after watching this disaster.,1
80,"Nothing useful here, just filler content.",1
81,Is this method still relevant in the current! year?,4
82,First comment! Subscribe! to me for no reason!,3
83,"This is a scam avoid at! all costs, visit my page instead!",3
84,Why does this happen the way it does?,4
